2026/09/16 16:41:33.103, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:33.603, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:34.103, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:34.603, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:35.103, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:35.603, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:36.104, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:36.604, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:37.104, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:37.604, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:38.104, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:38.604, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:39.105, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:39.605, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:40.105, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:40.605, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.46 W
2026/09/16 16:41:41.105, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:41.605, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:42.106, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:42.606, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
2026/09/16 16:41:43.106, NVIDIA L40S, 580.173.02, 4411 MiB, 0 %, 102.43 W
