2026/09/16 16:41:09.328, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:09.828, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:10.328, NVIDIA L40S, 580.173.02, 1681 MiB, 13 %, 99.99 W
2026/09/16 16:41:10.828, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 103.86 W
2026/09/16 16:41:11.328, NVIDIA L40S, 580.173.02, 1681 MiB, 14 %, 106.53 W
2026/09/16 16:41:11.828, NVIDIA L40S, 580.173.02, 1681 MiB, 8 %, 105.26 W
2026/09/16 16:41:12.329, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 101.61 W
2026/09/16 16:41:12.829, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.53 W
2026/09/16 16:41:13.329, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.53 W
2026/09/16 16:41:13.829, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:14.329, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:14.829, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:15.329, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:15.830, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:16.330, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:16.830, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:17.330, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:17.830, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:18.330, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:18.831, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:19.331, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:19.831, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:20.331, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:20.831, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.03 W
2026/09/16 16:41:21.332, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.03 W
2026/09/16 16:41:21.832, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:22.332, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:22.832, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:23.332, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:23.832, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:24.333, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:24.833, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:25.333, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:25.833, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:26.333, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:26.833, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:27.334, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:27.834, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:28.334, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:28.834, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:29.334, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:29.834, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:30.335, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:30.835, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:31.335, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:31.835, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:32.335, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:32.836, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:33.336, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:33.836, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:34.336, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:34.836, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:35.336, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:35.836, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:36.337, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:36.837, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:37.337, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:37.837, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:38.337, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:38.837, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:39.338, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:39.838, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:40.338, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:40.838, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:41.338, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:41.838, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:42.338, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:42.839, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:43.339, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:43.839, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:44.339, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:44.839, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:45.340, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:45.840, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:46.340, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:46.840, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:47.340, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:47.840, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:48.340, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:48.841, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:49.341, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.79 W
2026/09/16 16:41:49.841, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:50.341, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
2026/09/16 16:41:50.841, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.03 W
2026/09/16 16:41:51.341, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 99.03 W
2026/09/16 16:41:51.841, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:52.342, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.91 W
2026/09/16 16:41:52.842, NVIDIA L40S, 580.173.02, 1681 MiB, 0 %, 98.80 W
